tick,sim_min,ev0_soc_pct,ev1_soc_pct,ev2_soc_pct,ev3_soc_pct,ev4_soc_pct,mean_soc_pct,total_power_kw,bus2_voltage_pu,trafo_loading_pct,line_loading_pct,cmd,bursts,cumulative_higher,cumulative_lower,grid_stress
0,0.00,20.02,30.02,40.02,50.02,60.02,40.02,85.000,0.9716,27.43,43.91,LOWER,1,0,1,0
1,0.07,20.05,30.05,40.05,50.05,60.05,40.05,90.000,0.9714,28.73,46.01,LOWER,1,0,2,0
2,0.13,20.07,30.07,40.07,50.07,60.07,40.07,95.000,0.9711,30.06,48.16,LOWER,1,0,3,0
3,0.20,20.10,30.10,40.10,50.10,60.10,40.10,100.000,0.9709,31.42,50.34,LOWER,1,0,4,0
4,0.27,20.13,30.13,40.13,50.13,60.13,40.13,105.000,0.9706,32.80,52.56,LOWER,1,0,5,0
5,0.33,20.15,30.15,40.15,50.15,60.15,40.15,110.000,0.9704,34.20,54.82,LOWER,1,0,6,0
6,0.40,20.18,30.18,40.18,50.18,60.18,40.18,115.000,0.9701,35.62,57.11,LOWER,1,0,7,0
7,0.47,20.22,30.22,40.22,50.22,60.22,40.22,120.000,0.9699,37.07,59.44,LOWER,1,0,8,0
8,0.53,20.25,30.25,40.25,50.25,60.25,40.25,125.000,0.9696,38.54,61.81,LOWER,1,0,9,0
9,0.60,20.28,30.28,40.28,50.28,60.28,40.28,130.000,0.9693,40.02,64.21,LOWER,1,0,10,0
10,0.67,20.32,30.32,40.32,50.32,60.32,40.32,135.000,0.9690,41.53,66.64,LOWER,1,0,11,0
11,0.73,20.36,30.36,40.36,50.36,60.36,40.36,140.000,0.9688,43.06,69.10,LOWER,1,0,12,0
12,0.80,20.39,30.39,40.39,50.39,60.39,40.39,145.000,0.9685,44.61,71.60,LOWER,1,0,13,0
13,0.87,20.43,30.43,40.43,50.43,60.43,40.43,150.000,0.9682,46.18,74.13,LOWER,1,0,14,0
14,0.93,20.48,30.48,40.48,50.48,60.48,40.48,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
15,1.00,20.52,30.52,40.52,50.52,60.52,40.52,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
16,1.07,20.56,30.56,40.56,50.56,60.56,40.56,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
17,1.13,20.60,30.60,40.60,50.60,60.60,40.60,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
18,1.20,20.64,30.64,40.64,50.64,60.64,40.64,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
19,1.27,20.68,30.68,40.68,50.68,60.68,40.68,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
20,1.33,20.72,30.72,40.72,50.72,60.72,40.72,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
21,1.40,20.76,30.76,40.76,50.76,60.76,40.76,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
22,1.47,20.80,30.80,40.80,50.80,60.80,40.80,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
23,1.53,20.84,30.84,40.84,50.84,60.84,40.84,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
24,1.60,20.88,30.88,40.88,50.88,60.88,40.88,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
25,1.67,20.93,30.93,40.93,50.93,60.93,40.93,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
26,1.73,20.97,30.97,40.97,50.97,60.97,40.97,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
27,1.80,21.01,31.01,41.01,51.01,61.01,41.01,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
28,1.87,21.05,31.05,41.05,51.05,61.05,41.05,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
29,1.93,21.09,31.09,41.09,51.09,61.09,41.09,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
30,2.00,21.13,31.13,41.13,51.13,61.13,41.13,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
31,2.07,21.17,31.17,41.17,51.17,61.17,41.17,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
32,2.13,21.21,31.21,41.21,51.21,61.21,41.21,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
33,2.20,21.25,31.25,41.25,51.25,61.25,41.25,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
34,2.27,21.29,31.29,41.29,51.29,61.29,41.29,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
35,2.33,21.33,31.33,41.33,51.33,61.33,41.33,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
36,2.40,21.38,31.38,41.38,51.38,61.38,41.38,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
37,2.47,21.42,31.42,41.42,51.42,61.42,41.42,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
38,2.53,21.46,31.46,41.46,51.46,61.46,41.46,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
39,2.60,21.50,31.50,41.50,51.50,61.50,41.50,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
40,2.67,21.54,31.54,41.54,51.54,61.54,41.54,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
41,2.73,21.58,31.58,41.58,51.58,61.58,41.58,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
42,2.80,21.62,31.62,41.62,51.62,61.62,41.62,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
43,2.87,21.66,31.66,41.66,51.66,61.66,41.66,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
44,2.93,21.70,31.70,41.70,51.70,61.70,41.70,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
45,3.00,21.74,31.74,41.74,51.74,61.74,41.74,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
46,3.07,21.78,31.78,41.78,51.78,61.78,41.78,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
